"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
1.034,0,0.00052072,-0.0050572,-0.0041868,0.001165,-0.0019573,-0.0049491,0.5,0.026515,3.4737,0,0,0,-1,-3.5152e-05,-0.00019627,-0.00073131,-0.00042165,0.26888,0.96291,0.95,0.55,-1.7347e-18,0.15784,-0.34651
1.0323,0,0.00063111,-0.0044432,-0.0041076,0.0010036,-0.0019066,-0.0046713,0.5,0.026222,3.4657,0,0,0,-1,-3.6138e-05,-0.00019515,-0.00073444,-0.00041506,0.24171,0.97009,0.95,0.55,0,0.14223,-0.34239
1.0253,0,0.00078501,-0.003133,-0.0037828,0.00019333,-0.0015397,-0.0040508,0.5,0.026225,3.4451,0,0,0,-1,4.0684e-05,-9.7221e-05,-0.00072268,-0.00046626,0.15628,0.98751,0.95,0.55,0,0.092926,-0.33234
1.0221,0,0.000692,-0.0025986,-0.0036698,-0.00016643,-0.0013567,-0.0039144,0.5,0.02735,3.4391,0,0,0,-1,7.1659e-06,-7.5469e-05,-0.0007642,-0.00045653,0.12346,0.99206,0.95,0.55,0,0.073954,-0.32968
1.0266,0,0.0007745,-0.0034036,-0.0038501,0.00034664,-0.0016204,-0.0041535,0.5,0.026712,3.4478,0,0,0,-1,3.2943e-05,-0.00013389,-0.00076557,-0.00050319,0.17173,0.9849,0.95,0.55,-8.6736e-19,0.10187,-0.33385
1.02,0,0.0006775,-0.0016281,-0.0035081,-0.00069031,-0.00097977,-0.0035201,0.5,0.026117,3.4337,0,0,0,-1,1.2827e-06,-8.9339e-05,-0.00074269,-0.00036178,0.070181,0.99732,0.95,0.55,0,0.04302,-0.32665
1.0217,0,0.00064829,-0.00097224,-0.0034284,-0.0010338,-0.00071119,-0.0034066,0.5,0.025548,3.4323,0,0,0,-1,5.618e-06,1.3555e-05,-0.00059177,-0.00033166,0.031915,0.99947,0.95,0.55,0,0.020712,-0.32541
1.0223,0,0.00065334,-0.0024782,-0.003609,-0.00029905,-0.001261,-0.003787,0.5,0.026377,3.4369,0,0,0,-1,2.1934e-05,-6.1194e-05,-0.00071901,-0.00038065,0.11086,0.99364,0.95,0.55,0,0.066654,-0.32878
1.0204,0,0.00064144,-0.0020942,-0.0035353,-0.00047786,-0.0011296,-0.0036448,0.5,0.026758,3.4354,0,0,0,-1,1.6922e-05,-7.8899e-05,-0.00075889,-0.00040607,0.092755,0.99539,0.95,0.55,0,0.056146,-0.32776
1.0309,0,0.00060328,-0.0039941,-0.0039747,0.00081241,-0.0018324,-0.0044775,0.5,0.026425,3.4597,0,0,0,-1,6.5858e-06,-0.0001614,-0.00068602,-0.00045711,0.22066,0.97508,0.95,0.55,0,0.13014,-0.33952
1.0283,0,0.00061118,-0.0036685,-0.0039546,0.0006364,-0.0017557,-0.0043607,0.5,0.027107,3.4542,0,0,0,-1,1.6104e-06,-0.0001633,-0.00075629,-0.00048694,0.19938,0.97965,0.95,0.55,0,0.11789,-0.33688
1.0218,0,0.00064823,-0.00092618,-0.0034319,-0.0010541,-0.00068925,-0.0034086,0.5,0.025332,3.4323,0,0,0,-1,6.0458e-06,1.188e-05,-0.000582,-0.00032006,0.028713,0.99954,0.95,0.55,0,0.018846,-0.32537
1.0219,0,0.00065099,-0.00044288,-0.0035433,-0.0012659,-0.00043906,-0.0035397,0.5,0.023348,3.4319,0,0,0,-1,6.7298e-06,-3.6835e-05,-0.00054401,-0.00029458,-0.0054884,0.99987,0.95,0.55,0,-0.0010949,-0.32521
1.0217,0,0.00064532,-0.00096104,-0.0034277,-0.0010394,-0.00070643,-0.0034034,0.5,0.025529,3.4322,0,0,0,-1,5.5458e-06,1.5532e-05,-0.0005904,-0.00033154,0.031138,0.9995,0.95,0.55,0,0.020259,-0.32539
1.4548,0,-0.00019471,0.039909,0.02278,0.0011302,0.0088597,-0.013109,0.5,0.037118,4.7782,0,0,0,-1,-6.9351e-05,-0.0010465,0.00085728,-0.0029748,0.75622,-0.65247,0.95,0.55,0,0.45012,-1.0367
1.4464,0,0.00018663,0.036155,0.02284,0.0010928,0.0079878,-0.012197,0.5,0.036774,4.779,0,0,0,-1,-7.4769e-05,-0.0010798,0.00079016,-0.0035345,0.77832,-0.62728,0.95,0.55,0,0.45719,-1.0285
1.5027,0,-0.0015465,0.06008,0.02317,0.0013409,0.011886,-0.01742,0.5,0.036363,4.6588,0,0,0,-1,0.00016337,-0.0016257,0.0016167,-0.0028627,0.64631,-0.76219,0.95,0.55,0,0.41497,-1.0718
1.4751,0,-0.00073912,0.048382,0.023148,0.0013952,0.010446,-0.01483,0.5,0.035225,4.7785,0,0,0,-1,5.5319e-05,-0.001049,0.0010755,-0.002935,0.7087,-0.70493,0.95,0.55,0,0.43473,-1.0535
1.2842,0,0.0013983,-0.012128,0.01015,-0.00029944,-0.010915,-0.0098656,0.5,0.035853,4.3463,0,0,0,-1,-3.9087e-05,-0.0019534,-4.1396e-05,-0.0010578,0.99786,0.060715,0.95,0.55,0,0.53363,-0.77685
1.2791,0,0.0013586,-0.012668,0.009594,-0.00037918,-0.011128,-0.010183,0.5,0.035916,4.3319,0,0,0,-1,2.5362e-05,-0.0018549,-9.3711e-05,-0.0011633,0.99628,0.078656,0.95,0.55,0,0.533,-0.76944
