"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
2.4133,0,0.0015997,0.045639,-0.042547,-0.024175,0.0094873,-0.044073,0.5,0.064854,0.82717,0,0,0,-1,-4.3791e-05,-5.5601e-05,0.0011537,-0.0048064,0.046279,-0.99888,0.95,0.55,0,0.081328,-1.1758
1.0468,0,0.0019188,0.015994,-0.050888,-0.018886,0.029469,-0.044771,0.5,0.04307,3.518,0,0,0,-1,2.0843e-05,0.000578,-0.0013829,-0.0032244,-0.43278,0.9013,0.95,0.55,0,-0.25078,-0.38923
1.0473,0,0.0019229,0.016128,-0.050794,-0.019032,0.029527,-0.044662,0.5,0.043077,3.5202,0,0,0,-1,2.4393e-05,0.00059334,-0.0014011,-0.0032528,-0.43629,0.89969,0.95,0.55,0,-0.25274,-0.39014
1.1566,0,0.0017401,0.02505,-0.030318,0.00081653,0.024199,-0.032016,0.5,0.051639,3.9369,0,0,0,-1,-0.00019683,0.0031175,-0.0018873,-0.0032148,-0.83095,0.55457,0.95,0.55,0,-0.45759,-0.56628
1.1762,0,0.002296,0.024288,-0.02649,0.000527,0.022703,-0.029585,0.5,0.05345,4.0029,0,0,0,-1,-0.00013811,0.0029823,-0.0013385,-0.0029812,-0.87049,0.48973,0.95,0.55,0,-0.4761,-0.59652
1.0725,0,0.0018517,0.020461,-0.04691,-0.0018302,0.027677,-0.0423,0.5,0.044915,3.6163,0,0,0,-1,-6.4471e-05,0.001359,-0.0018691,-0.003074,-0.5615,0.82671,0.95,0.55,0,-0.32094,-0.42979
1.0855,0,0.0019619,0.021701,-0.045275,0.001605,0.027159,-0.041382,0.5,0.045453,3.6648,0,0,0,-1,6.5743e-05,0.0016869,-0.0019967,-0.0028331,-0.61893,0.78506,0.95,0.55,0,-0.35143,-0.45185
1.1505,0,0.0016063,0.025183,-0.031725,0.00098014,0.024604,-0.032928,0.5,0.051355,3.9094,0,0,0,-1,-0.00011352,0.0034089,-0.0021601,-0.0030053,-0.81501,0.57792,0.95,0.55,0,-0.44999,-0.55519
1.0679,0,0.0019513,0.019891,-0.047748,-0.0046251,0.028324,-0.042841,0.5,0.045519,3.5988,0,0,0,-1,1.6159e-05,0.0012533,-0.0019185,-0.0030236,-0.53638,0.84299,0.95,0.55,0,-0.30742,-0.421
1.1096,0,0.0019552,0.023697,-0.040888,0.0023537,0.026568,-0.038515,0.5,0.0496,3.7475,0,0,0,-1,-9.367e-05,0.0014788,-0.0015544,-0.0029447,-0.70319,0.71007,0.95,0.55,0,-0.39495,-0.4904
