"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
1.004,0,0.0016037,-0.017346,-0.083034,-0.0062431,-0.012257,-0.085126,0.5,0.058902,3.4592,0,0,0,-1,-6.7002e-06,-0.0010722,-0.0034853,-0.0010114,0.2683,0.9622,0.95,0.55,0,0.15755,-0.34101
0.99929,0,0.0016616,-0.014897,-0.084115,-0.005782,-0.0095933,-0.086196,0.5,0.061731,3.4464,0,0,0,-1,3.132e-06,-0.00094768,-0.0038724,-0.00094844,0.22621,0.97257,0.95,0.55,0,0.13335,-0.33493
0.99615,0,0.001681,-0.011905,-0.085104,-0.0048498,-0.0067324,-0.086833,0.5,0.062451,3.4336,0,0,0,-1,5.2642e-05,-0.00074048,-0.0041661,-0.0010336,0.17489,0.98313,0.95,0.55,0,0.10375,-0.32885
0.99329,0,0.0018421,-0.0082819,-0.085966,-0.0019901,-0.0024606,-0.087352,0.5,0.06215,3.4209,0,0,0,-1,-8.6958e-05,-0.00033575,-0.0039444,-0.00088146,0.11299,0.99225,0.95,0.55,0,0.067778,-0.32357
0.99082,0,0.0018738,-0.0060269,-0.086442,-0.00045505,-0.00043227,-0.087637,0.5,0.061192,3.4122,0,0,0,-1,-6.425e-05,-0.00016487,-0.0034272,-0.0008666,0.076797,0.99585,0.95,0.55,0,0.046648,-0.3215
0.98921,0,0.0018124,-0.0011898,-0.086936,0.0037914,0.0052675,-0.087691,0.5,0.058188,3.4098,0,0,0,-1,0.00017701,-7.8223e-05,-0.0032696,-0.0010337,0.0038925,0.99915,0.95,0.55,0,0.0039371,-0.31964
1.0149,0,0.001235,-0.022708,-0.07981,-0.0033274,-0.017932,-0.082493,0.5,0.063128,3.5054,0,0,0,-1,0.00022671,-0.0018745,-0.0045731,-0.00076676,0.36525,0.93083,0.95,0.55,0,0.21273,-0.35847
1.1909,0,0.0011851,-0.027539,-0.025102,-0.001475,-0.019103,-0.046749,0.5,0.094953,4.0978,0,0,0,-1,-5.8864e-05,-0.0086458,-0.004053,-0.0021861,0.92383,0.37516,0.95,0.55,0,0.49928,-0.63202
1.1788,0,0.00089016,-0.029418,-0.02885,-0.0013528,-0.021025,-0.048031,0.5,0.10328,4.0623,0,0,0,-1,1.3117e-05,-0.01119,-0.0052551,-0.0018148,0.90627,0.41479,0.95,0.55,0,0.49196,-0.61408
1.3193,0,-0.0013545,0.009087,0.0073223,0.00089024,0.0052046,-0.03762,0.5,0.11886,4.5016,0,0,0,-1,-0.00098917,-0.018298,0.0016135,-0.0016275,0.99473,-0.084558,0.95,0.55,0,0.53175,-0.81961
